sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001250148_4yearsFollowUpMGS,EGAN00002854338,SAMEA7985013,EGAR00002588855,EGAX00002367938,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001250513_4yearsFollowUpMGS,EGAN00002854340,SAMEA7985015,EGAR00002588853,EGAX00002367936,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001251234_4yearsFollowUpMGS,EGAN00002854556,SAMEA7985317,EGAR00002588943,EGAX00002368026,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001252044_4yearsFollowUpMGS,EGAN00002854422,SAMEA7985133,EGAR00002588878,EGAX00002367961,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001253168_4yearsFollowUpMGS,EGAN00002854350,SAMEA7985025,EGAR00002588843,EGAX00002367926,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001256080_4yearsFollowUpMGS,EGAN00002854550,SAMEA7985311,EGAR00002588928,EGAX00002368011,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001259288_4yearsFollowUpMGS,EGAN00002854582,SAMEA7985343,EGAR00002588973,EGAX00002368056,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001260888_4yearsFollowUpMGS,EGAN00002854559,SAMEA7985320,EGAR00002588946,EGAX00002368029,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001261704_4yearsFollowUpMGS,EGAN00002854554,SAMEA7985315,EGAR00002588936,EGAX00002368019,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001262004_4yearsFollowUpMGS,EGAN00002854435,SAMEA7985146,EGAR00002588921,EGAX00002368004,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001264644_4yearsFollowUpMGS,EGAN00002854568,SAMEA7985329,EGAR00002588955,EGAX00002368038,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001265472_4yearsFollowUpMGS,EGAN00002854342,SAMEA7985017,EGAR00002588851,EGAX00002367934,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001265946_4yearsFollowUpMGS,EGAN00002854586,SAMEA7985347,EGAR00002588971,EGAX00002368054,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001267207_4yearsFollowUpMGS,EGAN00002854574,SAMEA7985335,EGAR00002588961,EGAX00002368044,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001270534_4yearsFollowUpMGS,EGAN00002854440,SAMEA7985151,EGAR00002588933,EGAX00002368016,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001271522_4yearsFollowUpMGS,EGAN00002854564,SAMEA7985325,EGAR00002588951,EGAX00002368034,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001271970_4yearsFollowUpMGS,EGAN00002854548,SAMEA7985309,EGAR00002588911,EGAX00002367994,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001272430_4yearsFollowUpMGS,EGAN00002854549,SAMEA7985310,EGAR00002588912,EGAX00002367995,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001274506_4yearsFollowUpMGS,EGAN00002854428,SAMEA7985139,EGAR00002588914,EGAX00002367997,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001275760_4yearsFollowUpMGS,EGAN00002854417,SAMEA7985128,EGAR00002588801,EGAX00002367884,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001276538_4yearsFollowUpMGS,EGAN00002854341,SAMEA7985016,EGAR00002588852,EGAX00002367935,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
